Period Start Date,Period End Date,Total Payable,Currency,Transaction Key,Transaction Posted Timestamp,Transaction Type,Transaction Description,Customer Order #,Customer Order line #,Purchase Order #,Purchase Order line #,Amount,Amount Type,Ship Qty,Commission Rate,Base Commission Rate,Transaction Reason Description,Partner Item Id,Partner GTIN,Partner Item Name,Product Tax Code,Ship to State,Ship to City,Ship to Zipcode,Contract Category,Product Type,Commission Rule,Shipping Method,Fulfillment Type,Fulfillment Details,Original Commission,Commission Incentive Program,Commission Saving,Customer Promo Type,Total Walmart Funded Savings Program,Campaign Id,Item Condition,Original charge,Charge Savings,Incentive Program Name,Ship to country,Store Id
Number of Lines in file 5280            
07/11/2026,07/25/2026,8805.63,USD,,07/25/2026,PaymentSummary,Deposited in PAYONEER account,,,,,,,,,,,,,,,,,,,,,,,,,,
07/11/2026,07/17/2026,,,,07/17/2026,Service Fee,WFS StorageFee,,,,,-104.06,WFS Inventory Fee/Reimbursement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/11/2026,07/17/2026,,,,07/17/2026,,WFS RC_InventoryDisposalFee,,,,,-1.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/11/2026,07/17/2026,,,,07/17/2026,Adjustment,WFS LostInventory,,,,,6.26,WFS Inventory Fee/Reimbursement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/18/2026,07/24/2026,,,,07/24/2026,Service Fee,WFS StorageFee,,,,,-125.41,WFS Inventory Fee/Reimbursement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/18/2026,07/24/2026,,,,07/24/2026,Adjustment,WFS DamageInWarehouse,,,,,7.16,WFS Inventory Fee/Reimbursement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/18/2026,07/24/2026,,,,07/24/2026,Adjustment,WFS FoundInventory,,,,,-6.26,WFS Inventory Fee/Reimbursement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/18/2026,07/24/2026,,,,07/24/2026,Adjustment,WFS LostInventory,,,,,7.19,WFS Inventory Fee/Reimbursement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,2026_07_17_1691608,07/16/2026,Sale,Purchase,4682651380220,7,129119810657041,7,12.99,Product Price,1,,,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,TX,Sherman,75090,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_17_1691608,07/16/2026,Sale,Purchase,4682651380220,7,129119810657041,7,-1.95,Commission on Product,1,15.00,15.00,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,TX,Sherman,75090,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-1.95,,0.00,,,,,,,,USA,
"",,,,2026_07_17_1707037,07/16/2026,Adjustment,WFS Fulfillment fee,4682651380220,7,129119810657041,7,-3.45,Fee/Reimbursement,,,,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,TX,Sherman,75090,Health & Personal Care,Adhesive Bandages,,,Walmart-fulfilled(WFS),,,,,,,,,-3.45,0.00,,USA,
"",,,,2026_07_16_1478296,07/15/2026,Sale,Purchase,200015491736080,7,129119795615034,7,25.98,Product Price,2,,,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,HI,Pearl City,96782,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_16_1478296,07/15/2026,Sale,Purchase,200015491736080,7,129119795615034,7,1.09,Product tax,2,,,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,HI,Pearl City,96782,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_16_1478296,07/15/2026,Sale,Purchase,200015491736080,7,129119795615034,7,0.14,Other tax (Fees),2,,,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,HI,Pearl City,96782,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_16_1478296,07/15/2026,Sale,Purchase,200015491736080,7,129119795615034,7,-1.09,Product tax withheld,2,,,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,HI,Pearl City,96782,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_16_1478296,07/15/2026,Sale,Purchase,200015491736080,7,129119795615034,7,-3.90,Commission on Product,2,15.00,15.00,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,HI,Pearl City,96782,Health & Personal Care,Bathing Cast & Wound Covers,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-3.90,,0.00,,,,,,,,USA,
"",,,,2026_07_16_1532914,07/15/2026,Adjustment,WFS Fulfillment fee,200015491736080,7,129119795615034,7,-6.90,Fee/Reimbursement,,,,,K4-MWL6-62NP,00794302517327,100% Waterproof Cast Covers for Shower Leg - 2pk - Tight Seal - Reusable Adult Half Leg Cast Protectors - Knee Ankle Foot - After Surgery Bandage and Dressing Cast Bag for Wounds and Burns,2038710,HI,Pearl City,96782,Health & Personal Care,Bathing Cast & Wound Covers,,,Walmart-fulfilled(WFS),,,,,,,,,-6.90,0.00,,USA,
"",,,,2026_07_23_802579,07/22/2026,Adjustment,WFS Fulfillment fee,200015481130020,4,129120334261116,4,-3.45,Fee/Reimbursement,,,,,LQ-NFKV-9NEW,00794302517310,Gauze Rolls - 24 Pack - 4 x 4.1yd Breathable Rolled Gauze - Individually Wrapped with Bonus Tape - First Aid Conforming Stretch Wrap for Wounds,2038945,KY,Paint Lick,40461,Health & Personal Care,First Aid Gauze & Pads,,,Walmart-fulfilled(WFS),,,,,,,,,-3.45,0.00,,USA,
"",,,,2026_07_23_802580,07/22/2026,Sale,Purchase,200015481130020,4,129120334261116,4,11.99,Product Price,1,,,,LQ-NFKV-9NEW,00794302517310,Gauze Rolls - 24 Pack - 4 x 4.1yd Breathable Rolled Gauze - Individually Wrapped with Bonus Tape - First Aid Conforming Stretch Wrap for Wounds,2038945,KY,Paint Lick,40461,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_23_802580,07/22/2026,Sale,Purchase,200015481130020,4,129120334261116,4,0.72,Product tax,1,,,,LQ-NFKV-9NEW,00794302517310,Gauze Rolls - 24 Pack - 4 x 4.1yd Breathable Rolled Gauze - Individually Wrapped with Bonus Tape - First Aid Conforming Stretch Wrap for Wounds,2038945,KY,Paint Lick,40461,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_23_802580,07/22/2026,Sale,Purchase,200015481130020,4,129120334261116,4,-0.72,Product tax withheld,1,,,,LQ-NFKV-9NEW,00794302517310,Gauze Rolls - 24 Pack - 4 x 4.1yd Breathable Rolled Gauze - Individually Wrapped with Bonus Tape - First Aid Conforming Stretch Wrap for Wounds,2038945,KY,Paint Lick,40461,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_23_802580,07/22/2026,Sale,Purchase,200015481130020,4,129120334261116,4,-1.80,Commission on Product,1,15.00,15.00,,LQ-NFKV-9NEW,00794302517310,Gauze Rolls - 24 Pack - 4 x 4.1yd Breathable Rolled Gauze - Individually Wrapped with Bonus Tape - First Aid Conforming Stretch Wrap for Wounds,2038945,KY,Paint Lick,40461,Health & Personal Care,First Aid Gauze & Pads,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-1.80,,0.00,,,,,,,,USA,
"",,,,2026_07_15_1557943,07/14/2026,Sale,Purchase,200015462616705,2,129119688388350,2,12.99,Product Price,1,,,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,WV,Belington,26250,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_15_1557943,07/14/2026,Sale,Purchase,200015462616705,2,129119688388350,2,0.78,Product tax,1,,,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,WV,Belington,26250,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_15_1557943,07/14/2026,Sale,Purchase,200015462616705,2,129119688388350,2,-0.78,Product tax withheld,1,,,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,WV,Belington,26250,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_15_1557943,07/14/2026,Sale,Purchase,200015462616705,2,129119688388350,2,-1.95,Commission on Product,1,15.00,15.00,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,WV,Belington,26250,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-1.95,,0.00,,,,,,,,USA,
"",,,,2026_07_15_1586742,07/14/2026,Adjustment,WFS Fulfillment fee,200015462616705,2,129119688388350,2,-3.45,Fee/Reimbursement,,,,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,WV,Belington,26250,Health & Personal Care,Adhesive Bandages,,,Walmart-fulfilled(WFS),,,,,,,,,-3.45,0.00,,USA,
"",,,,2026_07_20_1224522,07/19/2026,Sale,Purchase,200015405421037,1,129120121499970,1,12.99,Product Price,1,,,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,PA,Gallitzin,16641,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,,,,,,,,,,,USA,
"",,,,2026_07_20_1224522,07/19/2026,Sale,Purchase,200015405421037,1,129120121499970,1,-1.95,Commission on Product,1,15.00,15.00,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,PA,Gallitzin,16641,Health & Personal Care,Adhesive Bandages,BSE-59-19.0,Marketplace expedited,Walmart-fulfilled(WFS),Delivery,-1.95,,0.00,,,,,,,,USA,
"",,,,2026_07_20_1250545,07/19/2026,Adjustment,WFS Fulfillment fee,200015405421037,1,129120121499970,1,-3.45,Fee/Reimbursement,,,,,CL-87X7-EMNW,00794302517334,Premium Elastic Bandage Wrap - 4 Pack + 12 Extra Clips - Durable Compression Bandage (2X - 3 inch 2X - 4 inch Rolls) Stretches up to 15ft in Length,2038723,PA,Gallitzin,16641,Health & Personal Care,Adhesive Bandages,,,Walmart-fulfilled(WFS),,,,,,,,,-3.45,0.00,,USA,
